Startup,Industry,TotalFunding,Status,Country,City,FundingRounds,FoundedAt,FirstFundingAt,LastFundingAt,StatusCode
Hippocampus Learning Centres,Education,20997981,operating,IND,Bangalore,5,01-01-2010,05-02-2012,02-07-2014,0
Hipship,Logistics|Postal and Courier Services,-,operating,IND,Bangalore,1,01-02-2014,18-11-2015,18-11-2015,0
Hire a 3D Pro,Marketplaces,10000,operating,IND,Hyderabad,1,,10-11-2014,10-11-2014,0
HistoryFile,Hospitality,6000,operating,IND,Kochi,1,01-07-2008,25-07-2008,25-07-2008,0
Hokey Pokey,Consumer Goods|Distribution|Services,790000,operating,IND,Mumbai,2,15-07-2011,21-08-2013,21-04-2015,0
Holachef,Food Processing,3420000,operating,IND,Mumbai,2,01-01-2014,02-02-2015,21-06-2015,0
HolidayIQ,Resorts|Surveys|Travel,20000000,operating,IND,Bangalore,2,01-01-2004,07-02-2013,20-07-2015,0
Holidify,Internet|Travel,100000,operating,IND,New Delhi,1,01-01-2014,17-10-2015,17-10-2015,0
Holisol logistics,Logistics,1500000,operating,IND,New Delhi,1,01-01-2009,25-08-2014,25-08-2014,0
homelane,Interior Design,54500000,operating,IND,Bangalore,2,01-01-2014,23-02-2015,15-06-2015,0
homers.in,Real Estate,-,operating,IND,Gurgaon,1,,15-10-2015,15-10-2015,0
HomeShop18,E-Commerce|Online Shopping|Retail,65000000,closed,IND,Noida,3,09-04-2008,08-07-2008,23-10-2013,1
Homigo,Real Estate,200000,operating,IND,Bangalore,1,01-01-2015,12-10-2015,12-10-2015,0
hoopos.com,E-Commerce,-,acquired,IND,Bangalore,1,01-01-2011,01-10-2011,01-10-2011,2
Hoopz Planet Info,Apps|Content|Ediscovery|Information Technology|Internet|Mobile|Search|Tablets,1000000,operating,IND,Pune,1,28-03-2011,01-08-2011,01-08-2011,0
Hopper Dynamics,Transportation,1000,operating,IND,New Delhi,1,01-11-2014,17-01-2015,17-01-2015,0
Hopscotch,Baby Accessories|Consumer Goods|E-Commerce|Kids|Online Shopping|Retail,12800000,operating,IND,Mumbai,2,01-01-2011,08-05-2014,20-01-2015,0
Hotelogix,Enterprise Software|Hospitality|Hotels,3000000,operating,IND,Noida,2,01-01-2008,11-04-2012,14-11-2014,0
HotelsAroundYou,Hotels,-,operating,IND,Mumbai,1,,27-10-2014,27-10-2014,0
House of Patels,,3000000,operating,IND,Mumbai,1,01-01-1959,30-11-2015,30-11-2015,0
Housejoy,Internet,4000000,operating,IND,Bengaluru,1,01-01-2014,20-06-2015,20-06-2015,0
Housing.com,Real Estate,139500000,operating,IND,Mumbai,4,07-06-2012,04-06-2013,19-11-2014,0
